Element_Combination,Lattice_Parameter,USFE
Mo0.01Nb0.99,3.32079,943.875
Mo0.02Nb0.98,3.31881,951.405
Mo0.03Nb0.97,3.31683,963.53
Mo0.04Nb0.96,3.31485,971.205
Mo0.05Nb0.95,3.31287,978.805
Mo0.06Nb0.94,3.31089,985.625
Mo0.07Nb0.93,3.30924,992.45
Mo0.08Nb0.92,3.30726,1012.28
Mo0.09Nb0.91,3.30528,1018.33
Mo0.10Nb0.90,3.30363,1029.89
Mo0.11Nb0.89,3.30165,1034.79
Mo0.12Nb0.88,3.3,1037.36
Mo0.13Nb0.87,3.29802,1045.99
Mo0.14Nb0.86,3.29637,1062.75
Mo0.15Nb0.85,3.29472,1067.76
Mo0.16Nb0.84,3.29274,1076.9
Mo0.17Nb0.83,3.29109,1081.99
Mo0.18Nb0.82,3.28944,1092.71
Mo0.19Nb0.81,3.28779,1104.75
Mo0.20Nb0.80,3.28581,1112.13
Mo0.21Nb0.79,3.28416,1119.2
Mo0.22Nb0.78,3.28251,1127.95
Mo0.23Nb0.77,3.28086,1126.98
Mo0.24Nb0.76,3.27921,1138.09
Mo0.25Nb0.75,3.27756,1145.52
Mo0.26Nb0.74,3.27591,1153.97
Mo0.27Nb0.73,3.27426,1164.62
Mo0.28Nb0.72,3.27261,1165.42
Mo0.29Nb0.71,3.27096,1182.4
Mo0.30Nb0.70,3.26964,1187.06
Mo0.31Nb0.69,3.26799,1192.0
Mo0.32Nb0.68,3.26634,1200.11
Mo0.33Nb0.67,3.26469,1209.82
Mo0.34Nb0.66,3.26304,1219.72
Mo0.35Nb0.65,3.26139,1226.25
Mo0.36Nb0.64,3.26007,1238.71
Mo0.37Nb0.63,3.25842,1253.72
Mo0.38Nb0.62,3.25677,1259.5
Mo0.39Nb0.61,3.25512,1261.12
Mo0.40Nb0.60,3.2538,1277.83
Mo0.41Nb0.59,3.25215,1275.42
Mo0.42Nb0.58,3.2505,1299.52
Mo0.43Nb0.57,3.24885,1286.97
Mo0.44Nb0.56,3.24753,1296.48
Mo0.45Nb0.55,3.24588,1306.82
Mo0.46Nb0.54,3.24423,1313.71
Mo0.47Nb0.53,3.24291,1330.6
Mo0.48Nb0.52,3.24126,1325.11
Mo0.49Nb0.51,3.23994,1329.79
Mo0.50Nb0.50,3.23829,1344.71
Mo0.51Nb0.49,3.23664,1349.71
Mo0.52Nb0.48,3.23532,1354.4
Mo0.53Nb0.47,3.23367,1363.41
Mo0.54Nb0.46,3.23235,1372.12
Mo0.55Nb0.45,3.2307,1379.17
Mo0.56Nb0.44,3.22938,1383.49
Mo0.57Nb0.43,3.22773,1386.79
Mo0.58Nb0.42,3.22641,1387.24
Mo0.59Nb0.41,3.22476,1389.39
Mo0.60Nb0.40,3.22344,1391.72
Mo0.61Nb0.39,3.22179,1409.38
Mo0.62Nb0.38,3.22047,1405.04
Mo0.63Nb0.37,3.21882,1413.33
Mo0.64Nb0.36,3.2175,1415.49
Mo0.65Nb0.35,3.21585,1423.72
Mo0.66Nb0.34,3.21453,1428.33
Mo0.67Nb0.33,3.21321,1433.67
Mo0.68Nb0.32,3.21156,1439.82
Mo0.69Nb0.31,3.21024,1446.15
Mo0.70Nb0.30,3.20859,1446.91
Mo0.71Nb0.29,3.20727,1451.7
Mo0.72Nb0.28,3.20595,1451.44
Mo0.73Nb0.27,3.20463,1458.23
Mo0.74Nb0.26,3.20298,1459.47
Mo0.75Nb0.25,3.20166,1468.0
Mo0.76Nb0.24,3.20034,1466.93
Mo0.77Nb0.23,3.19869,1471.95
Mo0.78Nb0.22,3.19737,1467.43
Mo0.79Nb0.21,3.19605,1474.09
Mo0.80Nb0.20,3.19473,1475.74
Mo0.81Nb0.19,3.19341,1475.42
Mo0.82Nb0.18,3.19176,1476.83
Mo0.83Nb0.17,3.19044,1479.69
Mo0.84Nb0.16,3.18912,1482.54
Mo0.85Nb0.15,3.1878,1482.5
Mo0.86Nb0.14,3.18648,1486.76
Mo0.87Nb0.13,3.18516,1487.75
Mo0.88Nb0.12,3.18384,1485.36
Mo0.89Nb0.11,3.18252,1485.88
Mo0.90Nb0.10,3.1812,1486.82
Mo0.91Nb0.09,3.17988,1486.29
Mo0.92Nb0.08,3.17856,1486.55
Mo0.93Nb0.07,3.17691,1487.45
Mo0.94Nb0.06,3.17559,1488.24
Mo0.95Nb0.05,3.17427,1489.72
Mo0.96Nb0.04,3.17295,1485.49
Mo0.97Nb0.03,3.17163,1485.41
Mo0.98Nb0.02,3.17031,1486.94
Mo0.99Nb0.01,3.16899,1486.63
Mo0.01Ta0.99,3.32145,963.395
Mo0.02Ta0.98,3.3198,974.89
Mo0.03Ta0.97,3.31782,986.3
Mo0.04Ta0.96,3.31617,995.73
Mo0.05Ta0.95,3.31419,1004.3
Mo0.06Ta0.94,3.31221,1011.91
Mo0.07Ta0.93,3.31056,1025.33
Mo0.08Ta0.92,3.30858,1040.6
Mo0.09Ta0.91,3.30693,1046.94
Mo0.10Ta0.90,3.30495,1055.17
Mo0.11Ta0.89,3.3033,1063.78
Mo0.12Ta0.88,3.30132,1070.64
Mo0.13Ta0.87,3.29967,1075.14
Mo0.14Ta0.86,3.29769,1094.84
Mo0.15Ta0.85,3.29604,1102.0
Mo0.16Ta0.84,3.29406,1109.56
Mo0.17Ta0.83,3.29241,1115.37
Mo0.18Ta0.82,3.29043,1128.56
Mo0.19Ta0.81,3.28878,1139.66
Mo0.20Ta0.80,3.28713,1144.1
Mo0.21Ta0.79,3.28515,1153.16
Mo0.22Ta0.78,3.2835,1157.87
Mo0.23Ta0.77,3.28152,1167.51
Mo0.24Ta0.76,3.27987,1171.06
Mo0.25Ta0.75,3.27822,1184.16
Mo0.26Ta0.74,3.27624,1189.5
Mo0.27Ta0.73,3.27459,1205.57
Mo0.28Ta0.72,3.27294,1213.36
Mo0.29Ta0.71,3.27096,1225.33
Mo0.30Ta0.70,3.26931,1225.76
Mo0.31Ta0.69,3.26766,1235.75
Mo0.32Ta0.68,3.26601,1251.46
Mo0.33Ta0.67,3.26436,1253.8
Mo0.34Ta0.66,3.26271,1277.09
Mo0.35Ta0.65,3.26106,1270.92
Mo0.36Ta0.64,3.25908,1287.1
Mo0.37Ta0.63,3.25743,1291.06
Mo0.38Ta0.62,3.25578,1308.55
Mo0.39Ta0.61,3.25413,1309.93
Mo0.40Ta0.60,3.25248,1320.07
Mo0.41Ta0.59,3.25083,1326.74
Mo0.42Ta0.58,3.24918,1331.21
Mo0.43Ta0.57,3.24786,1338.35
Mo0.44Ta0.56,3.24621,1365.66
Mo0.45Ta0.55,3.24456,1359.84
Mo0.46Ta0.54,3.24291,1382.96
Mo0.47Ta0.53,3.24126,1371.9
Mo0.48Ta0.52,3.23994,1379.01
Mo0.49Ta0.51,3.23829,1395.0
Mo0.50Ta0.50,3.23664,1400.62
Mo0.51Ta0.49,3.23532,1406.2
Mo0.52Ta0.48,3.23367,1413.1
Mo0.53Ta0.47,3.23202,1421.88
Mo0.54Ta0.46,3.2307,1427.34
Mo0.55Ta0.45,3.22905,1434.23
Mo0.56Ta0.44,3.22773,1442.8
Mo0.57Ta0.43,3.22608,1445.3
Mo0.58Ta0.42,3.22476,1447.62
Mo0.59Ta0.41,3.22311,1447.81
Mo0.60Ta0.40,3.22179,1456.74
Mo0.61Ta0.39,3.22014,1460.67
Mo0.62Ta0.38,3.21882,1465.24
Mo0.63Ta0.37,3.2175,1471.04
Mo0.64Ta0.36,3.21585,1472.66
Mo0.65Ta0.35,3.21453,1481.62
Mo0.66Ta0.34,3.21321,1482.72
Mo0.67Ta0.33,3.21156,1489.49
Mo0.68Ta0.32,3.21024,1494.7
Mo0.69Ta0.31,3.20892,1501.46
Mo0.70Ta0.30,3.2076,1496.3
Mo0.71Ta0.29,3.20628,1500.99
Mo0.72Ta0.28,3.20463,1504.31
Mo0.73Ta0.27,3.20331,1511.52
Mo0.74Ta0.26,3.20199,1506.28
Mo0.75Ta0.25,3.20067,1500.26
Mo0.76Ta0.24,3.19935,1514.33
Mo0.77Ta0.23,3.19803,1518.74
Mo0.78Ta0.22,3.19671,1517.18
Mo0.79Ta0.21,3.19539,1518.0
Mo0.80Ta0.20,3.19407,1509.57
Mo0.81Ta0.19,3.19275,1516.57
Mo0.82Ta0.18,3.19143,1514.96
Mo0.83Ta0.17,3.19011,1517.48
Mo0.84Ta0.16,3.18879,1514.91
Mo0.85Ta0.15,3.18747,1517.88
Mo0.86Ta0.14,3.18615,1514.76
Mo0.87Ta0.13,3.18483,1514.71
Mo0.88Ta0.12,3.18351,1514.78
Mo0.89Ta0.11,3.18219,1515.08
Mo0.90Ta0.10,3.18087,1510.13
Mo0.91Ta0.09,3.17955,1510.7
Mo0.92Ta0.08,3.17823,1509.64
Mo0.93Ta0.07,3.17691,1505.29
Mo0.94Ta0.06,3.17559,1504.23
Mo0.95Ta0.05,3.17427,1502.16
Mo0.96Ta0.04,3.17295,1497.7
Mo0.97Ta0.03,3.17163,1496.19
Mo0.98Ta0.02,3.17031,1495.14
Mo0.99Ta0.01,3.16899,1492.13
Mo0.01V0.99,2.99838,868.17
Mo0.02V0.98,3.00069,881.89
Mo0.03V0.97,3.00267,897.175
Mo0.04V0.96,3.00465,909.225
Mo0.05V0.95,3.00663,920.565
Mo0.06V0.94,3.00894,929.275
Mo0.07V0.93,3.01092,943.815
Mo0.08V0.92,3.0129,962.62
Mo0.09V0.91,3.01455,970.855
Mo0.10V0.90,3.01653,981.365
Mo0.11V0.89,3.01851,991.16
Mo0.12V0.88,3.02049,1000.49
Mo0.13V0.87,3.02214,1011.4
Mo0.14V0.86,3.02412,1033.78
Mo0.15V0.85,3.0261,1038.25
Mo0.16V0.84,3.02775,1053.42
Mo0.17V0.83,3.02973,1061.42
Mo0.18V0.82,3.03138,1072.68
Mo0.19V0.81,3.03336,1091.37
Mo0.20V0.80,3.03501,1101.13
Mo0.21V0.79,3.03666,1111.87
Mo0.22V0.78,3.03864,1118.2
Mo0.23V0.77,3.04029,1123.34
Mo0.24V0.76,3.04194,1134.11
Mo0.25V0.75,3.04392,1146.33
Mo0.26V0.74,3.04557,1154.1
Mo0.27V0.73,3.04722,1169.41
Mo0.28V0.72,3.04887,1179.24
Mo0.29V0.71,3.05052,1191.72
Mo0.30V0.70,3.0525,1191.72
Mo0.31V0.69,3.05415,1201.28
Mo0.32V0.68,3.0558,1218.11
Mo0.33V0.67,3.05745,1222.92
Mo0.34V0.66,3.0591,1245.4
Mo0.35V0.65,3.06075,1242.93
Mo0.36V0.64,3.0624,1265.86
Mo0.37V0.63,3.06405,1266.34
Mo0.38V0.62,3.0657,1288.69
Mo0.39V0.61,3.06735,1288.64
Mo0.40V0.60,3.069,1307.98
Mo0.41V0.59,3.07065,1307.17
Mo0.42V0.58,3.0723,1312.32
Mo0.43V0.57,3.07395,1319.6
Mo0.44V0.56,3.0756,1332.05
Mo0.45V0.55,3.07725,1343.17
Mo0.46V0.54,3.0789,1349.55
Mo0.47V0.53,3.08055,1353.93
Mo0.48V0.52,3.0822,1360.55
Mo0.49V0.51,3.08385,1369.35
Mo0.50V0.50,3.0855,1383.89
Mo0.51V0.49,3.08715,1389.92
Mo0.52V0.48,3.0888,1395.25
Mo0.53V0.47,3.09045,1405.22
Mo0.54V0.46,3.0921,1413.3
Mo0.55V0.45,3.09375,1418.42
Mo0.56V0.44,3.0954,1423.83
Mo0.57V0.43,3.09705,1426.99
Mo0.58V0.42,3.09837,1430.61
Mo0.59V0.41,3.10002,1443.26
Mo0.60V0.40,3.10167,1434.49
Mo0.61V0.39,3.10332,1451.64
Mo0.62V0.38,3.10497,1444.84
Mo0.63V0.37,3.10662,1461.47
Mo0.64V0.36,3.10827,1458.79
Mo0.65V0.35,3.10992,1476.41
Mo0.66V0.34,3.11124,1479.53
Mo0.67V0.33,3.11289,1476.66
Mo0.68V0.32,3.11454,1480.32
Mo0.69V0.31,3.11619,1484.32
Mo0.70V0.30,3.11784,1487.0
Mo0.71V0.29,3.11949,1488.29
Mo0.72V0.28,3.12114,1491.67
Mo0.73V0.27,3.12279,1492.7
Mo0.74V0.26,3.12444,1493.82
Mo0.75V0.25,3.12609,1503.46
Mo0.76V0.24,3.12741,1505.25
Mo0.77V0.23,3.12906,1508.1
Mo0.78V0.22,3.13071,1507.05
Mo0.79V0.21,3.13236,1507.71
Mo0.80V0.20,3.13401,1507.72
Mo0.81V0.19,3.13566,1506.85
Mo0.82V0.18,3.13731,1505.92
Mo0.83V0.17,3.13896,1509.33
Mo0.84V0.16,3.14061,1508.36
Mo0.85V0.15,3.14226,1509.15
Mo0.86V0.14,3.14391,1504.93
Mo0.87V0.13,3.14556,1507.2
Mo0.88V0.12,3.14721,1507.26
Mo0.89V0.11,3.14886,1505.89
Mo0.90V0.10,3.15051,1505.84
Mo0.91V0.09,3.15216,1503.5
Mo0.92V0.08,3.15414,1501.88
Mo0.93V0.07,3.15579,1499.66
Mo0.94V0.06,3.15744,1497.14
Mo0.95V0.05,3.15909,1495.81
Mo0.96V0.04,3.16074,1493.92
Mo0.97V0.03,3.16272,1491.02
Mo0.98V0.02,3.16437,1489.66
Mo0.99V0.01,3.16602,1487.82
Mo0.01W0.99,3.18978,1791.25
Mo0.02W0.98,3.18978,1789.37
Mo0.03W0.97,3.18945,1789.08
Mo0.04W0.96,3.18945,1786.8
Mo0.05W0.95,3.18912,1786.67
Mo0.06W0.94,3.18912,1785.17
Mo0.07W0.93,3.18879,1784.48
Mo0.08W0.92,3.18879,1781.56
Mo0.09W0.91,3.18846,1781.28
Mo0.10W0.90,3.18846,1779.08
Mo0.11W0.89,3.18813,1778.92
Mo0.12W0.88,3.1878,1778.45
Mo0.13W0.87,3.1878,1776.62
Mo0.14W0.86,3.18747,1775.74
Mo0.15W0.85,3.18747,1774.11
Mo0.16W0.84,3.18714,1772.64
Mo0.17W0.83,3.18714,1771.15
Mo0.18W0.82,3.18681,1769.22
Mo0.19W0.81,3.18681,1766.03
Mo0.20W0.80,3.18648,1765.27
Mo0.21W0.79,3.18615,1763.2
Mo0.22W0.78,3.18615,1761.1
Mo0.23W0.77,3.18582,1760.92
Mo0.24W0.76,3.18582,1758.17
Mo0.25W0.75,3.18549,1757.65
Mo0.26W0.74,3.18549,1755.8
Mo0.27W0.73,3.18516,1755.05
Mo0.28W0.72,3.18483,1752.3
Mo0.29W0.71,3.18483,1748.85
Mo0.30W0.70,3.1845,1748.78
Mo0.31W0.69,3.1845,1745.8
Mo0.32W0.68,3.18417,1743.25
Mo0.33W0.67,3.18384,1741.83
Mo0.34W0.66,3.18384,1737.72
Mo0.35W0.65,3.18351,1737.22
Mo0.36W0.64,3.18351,1733.1
Mo0.37W0.63,3.18318,1731.7
Mo0.38W0.62,3.18285,1726.24
Mo0.39W0.61,3.18285,1724.54
Mo0.40W0.60,3.18252,1722.72
Mo0.41W0.59,3.18219,1721.03
Mo0.42W0.58,3.18219,1717.2
Mo0.43W0.57,3.18186,1712.3
Mo0.44W0.56,3.18153,1713.52
Mo0.45W0.55,3.18153,1709.63
Mo0.46W0.54,3.1812,1707.74
Mo0.47W0.53,3.18087,1700.91
Mo0.48W0.52,3.18087,1695.97
Mo0.49W0.51,3.18054,1699.25
Mo0.50W0.50,3.18021,1694.88
Mo0.51W0.49,3.18021,1691.18
Mo0.52W0.48,3.17988,1684.52
Mo0.53W0.47,3.17955,1684.86
Mo0.54W0.46,3.17955,1680.0
Mo0.55W0.45,3.17922,1675.83
Mo0.56W0.44,3.17889,1675.09
Mo0.57W0.43,3.17889,1673.53
Mo0.58W0.42,3.17856,1663.4
Mo0.59W0.41,3.17823,1668.82
Mo0.60W0.40,3.17823,1666.67
Mo0.61W0.39,3.1779,1663.73
Mo0.62W0.38,3.17757,1645.45
Mo0.63W0.37,3.17724,1654.81
Mo0.64W0.36,3.17724,1649.17
Mo0.65W0.35,3.17691,1646.06
Mo0.66W0.34,3.17658,1631.03
Mo0.67W0.33,3.17658,1628.93
Mo0.68W0.32,3.17625,1629.45
Mo0.69W0.31,3.17592,1626.42
Mo0.70W0.30,3.17559,1627.14
Mo0.71W0.29,3.17559,1619.68
Mo0.72W0.28,3.17526,1608.53
Mo0.73W0.27,3.17493,1613.97
Mo0.74W0.26,3.1746,1610.11
Mo0.75W0.25,3.1746,1600.98
Mo0.76W0.24,3.17427,1593.1
Mo0.77W0.23,3.17394,1593.14
Mo0.78W0.22,3.17361,1591.37
Mo0.79W0.21,3.17361,1585.83
Mo0.80W0.20,3.17328,1581.44
Mo0.81W0.19,3.17295,1578.91
Mo0.82W0.18,3.17262,1574.82
Mo0.83W0.17,3.17229,1572.55
Mo0.84W0.16,3.17229,1559.82
Mo0.85W0.15,3.17196,1554.17
Mo0.86W0.14,3.17163,1556.74
Mo0.87W0.13,3.1713,1550.43
Mo0.88W0.12,3.17097,1539.16
Mo0.89W0.11,3.17097,1535.2
Mo0.90W0.10,3.17064,1539.89
Mo0.91W0.09,3.17031,1535.72
Mo0.92W0.08,3.16998,1530.01
Mo0.93W0.07,3.16965,1523.8
Mo0.94W0.06,3.16965,1517.65
Mo0.95W0.05,3.16932,1516.43
Mo0.96W0.04,3.16899,1511.75
Mo0.97W0.03,3.16866,1502.16
Mo0.98W0.02,3.16833,1502.2
Mo0.99W0.01,3.168,1496.7
Nb0.01Ta0.99,3.32343,950.93
Nb0.02Ta0.98,3.32343,950.545
Nb0.03Ta0.97,3.3231,951.125
Nb0.04Ta0.96,3.3231,950.53
Nb0.05Ta0.95,3.3231,950.195
Nb0.06Ta0.94,3.3231,950.015
Nb0.07Ta0.93,3.3231,949.645
Nb0.08Ta0.92,3.3231,948.42
Nb0.09Ta0.91,3.3231,948.41
Nb0.10Ta0.90,3.32277,949.145
Nb0.11Ta0.89,3.32277,948.565
Nb0.12Ta0.88,3.32277,948.715
Nb0.13Ta0.87,3.32277,948.445
Nb0.14Ta0.86,3.32277,947.54
Nb0.15Ta0.85,3.32277,947.3
Nb0.16Ta0.84,3.32277,947.645
Nb0.17Ta0.83,3.32244,948.005
Nb0.18Ta0.82,3.32244,947.645
Nb0.19Ta0.81,3.32244,947.47
Nb0.20Ta0.80,3.32244,947.5
Nb0.21Ta0.79,3.32244,947.29
Nb0.22Ta0.78,3.32244,947.215
Nb0.23Ta0.77,3.32244,947.145
Nb0.24Ta0.76,3.32211,947.12
Nb0.25Ta0.75,3.32211,947.06
Nb0.26Ta0.74,3.32211,946.515
Nb0.27Ta0.73,3.32211,945.735
Nb0.28Ta0.72,3.32211,944.97
Nb0.29Ta0.71,3.32211,944.7
Nb0.30Ta0.70,3.32211,944.745
Nb0.31Ta0.69,3.32211,944.285
Nb0.32Ta0.68,3.32211,944.315
Nb0.33Ta0.67,3.32178,944.575
Nb0.34Ta0.66,3.32178,944.155
Nb0.35Ta0.65,3.32178,944.375
Nb0.36Ta0.64,3.32178,943.35
Nb0.37Ta0.63,3.32178,944.12
Nb0.38Ta0.62,3.32178,943.3
Nb0.39Ta0.61,3.32178,943.19
Nb0.40Ta0.60,3.32178,942.935
Nb0.41Ta0.59,3.32178,943.32
Nb0.42Ta0.58,3.32178,943.005
Nb0.43Ta0.57,3.32178,942.545
Nb0.44Ta0.56,3.32145,942.49
Nb0.45Ta0.55,3.32145,942.32
Nb0.46Ta0.54,3.32145,941.9
Nb0.47Ta0.53,3.32145,941.71
Nb0.48Ta0.52,3.32145,940.995
Nb0.49Ta0.51,3.32145,940.93
Nb0.50Ta0.50,3.32145,940.215
Nb0.51Ta0.49,3.32145,940.255
Nb0.52Ta0.48,3.32145,939.94
Nb0.53Ta0.47,3.32145,940.4
Nb0.54Ta0.46,3.32145,940.065
Nb0.55Ta0.45,3.32145,939.235
Nb0.56Ta0.44,3.32145,939.255
Nb0.57Ta0.43,3.32145,939.225
Nb0.58Ta0.42,3.32145,939.09
Nb0.59Ta0.41,3.32145,938.415
Nb0.60Ta0.40,3.32145,938.565
Nb0.61Ta0.39,3.32145,937.925
Nb0.62Ta0.38,3.32145,937.69
Nb0.63Ta0.37,3.32145,937.6
Nb0.64Ta0.36,3.32145,937.065
Nb0.65Ta0.35,3.32145,936.96
Nb0.66Ta0.34,3.32145,936.15
Nb0.67Ta0.33,3.32145,936.46
Nb0.68Ta0.32,3.32145,936.465
Nb0.69Ta0.31,3.32145,936.835
Nb0.70Ta0.30,3.32145,936.51
Nb0.71Ta0.29,3.32145,936.17
Nb0.72Ta0.28,3.32145,935.86
Nb0.73Ta0.27,3.32145,936.1
Nb0.74Ta0.26,3.32145,935.55
Nb0.75Ta0.25,3.32145,935.67
Nb0.76Ta0.24,3.32145,935.585
Nb0.77Ta0.23,3.32178,934.91
Nb0.78Ta0.22,3.32178,934.865
Nb0.79Ta0.21,3.32178,934.32
Nb0.80Ta0.20,3.32178,934.635
Nb0.81Ta0.19,3.32178,934.955
Nb0.82Ta0.18,3.32178,934.395
Nb0.83Ta0.17,3.32178,934.205
Nb0.84Ta0.16,3.32178,933.535
Nb0.85Ta0.15,3.32178,933.67
Nb0.86Ta0.14,3.32211,932.56
Nb0.87Ta0.13,3.32211,932.365
Nb0.88Ta0.12,3.32211,932.0
Nb0.89Ta0.11,3.32211,932.065
Nb0.90Ta0.10,3.32211,932.18
Nb0.91Ta0.09,3.32244,930.79
Nb0.92Ta0.08,3.32244,930.5
Nb0.93Ta0.07,3.32244,930.605
Nb0.94Ta0.06,3.32244,930.385
Nb0.95Ta0.05,3.32244,930.59
Nb0.96Ta0.04,3.32277,929.995
Nb0.97Ta0.03,3.32277,929.83
Nb0.98Ta0.02,3.32277,929.63
Nb0.99Ta0.01,3.32277,929.51
Nb0.01V0.99,3.00069,848.5
Nb0.02V0.98,3.00465,845.97
Nb0.03V0.97,3.00894,844.84
Nb0.04V0.96,3.0129,839.24
